"","connectedness_level","tot_tags","tot_comments","tot_reactions","totcommon_sharedInterests","sharedBeliefs-religion","sharedBeliefs-causes_you_care_about","sharedBeliefs-cultural_background","sharedBeliefs-politics","sharedActivities-activism","sharedActivities-business","sharedActivities-event_attendance","sharedActivities-going_out","sharedActivities-sports_outdoor","sharedActivities-work_study","sameInstitution-coworker","sameInstitution-same_other_institution","sameInstitution-same_school","sameInstitution-same_university","commonPlace-live_same_city","commonPlace-live_together","commonPlace-same_hometown","is_male","friend_same_gender"
"149",1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"150",1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"151",7,3,11,30,6,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,TRUE,FALSE
"152",1,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
"153",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
"154",1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE
"155",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE
"156",1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE
"157",1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE
"158",1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE
"159",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE
"160",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE
"161",2,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"162",3,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"163",2,0,2,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"164",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"165",1,0,2,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"166",1,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"167",1,0,7,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,TRUE
"168",1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,TRUE
"169",2,1,6,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,FALSE
"170",1,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"171",3,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"172",2,1,7,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"173",3,0,0,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,TRUE
"174",3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,TRUE
"175",2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,TRUE
"176",4,0,1,4,12,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"177",5,2,3,11,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,FALSE
"178",2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,TRUE
"179",2,0,3,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,TRUE
"180",3,1,24,144,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,TRUE
"181",3,0,6,106,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,FALSE,FALSE
"182",3,0,13,117,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"183",3,0,23,69,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,FALSE,TRUE
"184",2,0,0,26,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"185",2,0,3,22,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,FALSE,TRUE
"186",3,0,0,6,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"187",2,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,FALSE,FALSE
"188",2,0,3,120,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"189",4,0,2,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"190",2,0,13,24,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE,TRUE
"191",6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"192",6,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"193",3,0,2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"194",6,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"195",3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"196",6,6,2,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"197",6,2,1,34,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,FALSE,FALSE
"198",4,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"199",6,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE
"200",6,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"211",5,0,4,13,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
