"","connectedness_level","tot_tags","tot_comments","tot_reactions","totcommon_sharedInterests","sharedBeliefs-religion","sharedBeliefs-causes_you_care_about","sharedBeliefs-cultural_background","sharedBeliefs-politics","sharedActivities-activism","sharedActivities-business","sharedActivities-event_attendance","sharedActivities-going_out","sharedActivities-sports_outdoor","sharedActivities-work_study","sameInstitution-coworker","sameInstitution-same_other_institution","sameInstitution-same_school","sameInstitution-same_university","commonPlace-live_same_city","commonPlace-live_together","commonPlace-same_hometown","is_male","friend_same_gender"
"1674",2,1,0,0,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1675",7,2,0,0,7,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,FALSE,TRUE
"1676",7,9,0,0,6,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,FALSE,FALSE
"1677",7,4,0,0,6,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,FALSE,TRUE
"1678",6,2,0,0,2,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,FALSE,TRUE
"1679",5,7,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,FALSE,TRUE
"1680",2,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1681",2,0,14,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,FALSE,TRUE
"1682",2,0,3,19,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,FALSE,TRUE
"1683",1,0,21,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1684",1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1685",2,0,3,37,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,FALSE,FALSE
"1686",1,0,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,TRUE
"1687",1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1688",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1689",1,0,5,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"1690",1,0,13,55,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
